date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-18,Canada,Qatar,False,0.8585,0.1072,0.0342,0.8521,0.1462,0.0017,0.6188,0.2273,0.1538,37.0,,,,,0.2333,-0.0811,-0.1521,0.2333,0.4665,,,model_over_concentrated,,True
2026-06-19,Scotland,Morocco,True,0.1247,0.2088,0.6664,0.1183,0.2478,0.6339,0.2583,0.2928,0.4489,37.0,,,,,-0.14,-0.045,0.185,0.185,0.37,,,model_over_concentrated,,True
2026-06-19,Brazil,Haiti,True,0.762,0.1637,0.0742,0.7556,0.2027,0.0417,0.8898,0.0764,0.0338,33.0,,,,,-0.1342,0.1263,0.0079,0.1342,0.2684,,,model_under_concentrated,,False
2026-06-19,USA,Australia,False,0.3281,0.2759,0.3959,0.3217,0.3149,0.3634,0.5288,0.2649,0.2063,37.0,,,,,-0.2071,0.05,0.1571,0.2071,0.4142,,,disagree_on_favorite,,True
2026-06-19,Turkey,Paraguay,True,0.4918,0.2633,0.2449,0.4854,0.3022,0.2124,0.4142,0.3038,0.282,33.0,,,,,0.0712,-0.0016,-0.0696,0.0712,0.1424,,,model_over_concentrated,,False
2026-06-20,Germany,Ivory Coast,True,0.619,0.2273,0.1537,0.6126,0.2662,0.1211,0.5825,0.2339,0.1836,35.0,,,,,0.0301,0.0323,-0.0625,0.0625,0.1249,,,model_over_concentrated,,False
2026-06-20,Ecuador,Curaçao,True,0.8231,0.1293,0.0476,0.8167,0.1683,0.015,0.7558,0.1607,0.0835,37.0,,,,,0.0609,0.0076,-0.0685,0.0685,0.137,,,model_over_concentrated,,False
2026-06-20,Netherlands,Sweden,True,0.6842,0.2012,0.1145,0.6778,0.2402,0.082,0.5579,0.2483,0.1938,35.0,,,,,0.1199,-0.0081,-0.1118,0.1199,0.2398,,,model_over_concentrated,,False
2026-06-20,Tunisia,Japan,True,0.0945,0.1843,0.7212,0.0881,0.2232,0.6887,0.2091,0.2839,0.5071,35.0,,,,,-0.121,-0.0607,0.1816,0.1816,0.3633,,,model_over_concentrated,,True
2026-06-21,Belgium,Iran,True,0.3606,0.277,0.3624,0.3542,0.3159,0.3299,0.6356,0.219,0.1454,36.0,,,,,-0.2814,0.0969,0.1845,0.2814,0.5628,,,model_under_concentrated,,True
