date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,lambda_home,lambda_away,scoreline_grid,top_scorelines,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-19,Scotland,Morocco,True,0.1392,0.2186,0.6421,0.1328,0.2576,0.6096,0.7597,1.9057,"[[0.07228879863845229, 0.1298588286319414, 0.12632758096482077, 0.08024765983772411, 0.03823207208739542, 0.020835891255719753], [0.05013456407163293, 0.10344386643870297, 0.09597536155491664, 0.060966877605344964, 0.029046206011047068, 0.01582973552817027], [0.020077536831164398, 0.038261842751235745, 0.036457873867473525, 0.023159305657395542, 0.011033695501875988, 0.006013194343751148], [0.005084529289608755, 0.009689607932437797, 0.009232762418759323, 0.0058649708344327926, 0.002794224631421546, 0.001522809447295097], [0.0009657224756062122, 0.0018403812087957232, 0.0017536109385681883, 0.0011139544746378081, 0.0005307168814960078, 0.00028923253767538224], [0.00016754430382009156, 0.00031928985415577134, 0.00030423598010315833, 0.0001932612439441363, 9.207468261521185e-05, 5.017928586214276e-05]]","[{""score"": ""0-1"", ""prob"": 0.1298588286319414}, {""score"": ""0-2"", ""prob"": 0.12632758096482077}, {""score"": ""1-1"", ""prob"": 0.10344386643870297}]",0.1818,0.2681,0.5501,49,0.1759,0.2663,0.5578,911874,-0.049,-0.0105,0.0595,0.0595,0.119,0.1036,0.0154,model_over_concentrated,,False
2026-06-19,Brazil,Haiti,True,0.7644,0.1625,0.0731,0.758,0.2014,0.0406,2.3089,0.5714,"[[0.05811705946741773, 0.03006652176628741, 0.009161026123812144, 0.0017448520923640427, 0.0002492495477373673, 3.143483634073608e-05], [0.12757388782857057, 0.07603618994205123, 0.021152205608260678, 0.004028748495515688, 0.0005755007801803851, 7.258096555504475e-05], [0.1495876342122707, 0.08547349162184963, 0.024419524409562157, 0.004651057390809934, 0.0006643966879675476, 8.37923331904841e-05], [0.1151293298570128, 0.06578421981725095, 0.01879435753834014, 0.0035796616702326936, 0.0005113493895917766, 6.449032514069017e-05], [0.06645650890425123, 0.03797285709448661, 0.010848733251966398, 0.0020663007242158046, 0.0002951680106606595, 3.7225977709356696e-05], [0.04787316873194745, 0.027354446161739248, 0.007815084572792728, 0.001488497738631595, 0.00021262970642935887, 2.6816417856968477e-05]]","[{""score"": ""2-0"", ""prob"": 0.1495876342122707}, {""score"": ""1-0"", ""prob"": 0.12757388782857057}, {""score"": ""3-0"", ""prob"": 0.1151293298570128}]",0.8691,0.0888,0.0421,49,0.8824,0.0823,0.0354,1277742,-0.1111,0.1126,-0.0015,0.1126,0.2252,0.2487,0.0265,model_under_concentrated,,False
2026-06-19,USA,Australia,False,0.3432,0.2767,0.3801,0.3368,0.3156,0.3476,1.2116,1.2891,"[[0.08548205770855515, 0.10227857038807406, 0.06815445159924281, 0.02928649548124077, 0.009438475375931262, 0.0030706235040803675], [0.09592261238969765, 0.1315744029590467, 0.08257819798929694, 0.03548449096888367, 0.011435970358822678, 0.0037204694590096945], [0.060207100119058346, 0.0776143710733784, 0.05002724417223016, 0.021497094115055935, 0.006928100823432361, 0.00225392220456696], [0.02431630762838417, 0.031346716909994715, 0.020204890398087216, 0.008682197823584576, 0.002798105714606834, 0.0009103090098728579], [0.007365611557967802, 0.00949518092570473, 0.006120229128451486, 0.00262990983726944, 0.000847569462720002, 0.0002757401603447019], [0.0022185848368769137, 0.0028600292398508666, 0.0018434650586354245, 0.0007921512071876375, 0.00025529512972434276, 8.305528113235844e-05]]","[{""score"": ""1-1"", ""prob"": 0.1315744029590467}, {""score"": ""0-1"", ""prob"": 0.10227857038807406}, {""score"": ""1-0"", ""prob"": 0.09592261238969765}]",0.5994,0.2217,0.1789,49,0.6142,0.2183,0.1675,2099786,-0.2626,0.0939,0.1687,0.2626,0.5252,0.5548,0.0296,disagree_on_favorite,,True
2026-06-19,Turkey,Paraguay,True,0.5058,0.2603,0.2338,0.4994,0.2993,0.2013,1.5631,0.9797,"[[0.08189188690510035, 0.07379569442484762, 0.037743493930959555, 0.012326357058008813, 0.0030191775289693133, 0.0007035848802719201], [0.119672781640524, 0.1236866647322554, 0.058997870663469607, 0.01926766029637843, 0.004719357611407462, 0.0010997924527863174], [0.09607331548148876, 0.09412753301571064, 0.046110579338395075, 0.015058899054665542, 0.003688477416555374, 0.0008595575836836361], [0.05005826126710051, 0.0490444262958318, 0.024025562312809848, 0.007846323398910759, 0.00192185275662007, 0.0004478658603849641], [0.019561853688458215, 0.019165665509520504, 0.00938875068469482, 0.003066199792734209, 0.0007510249354279959, 0.0001750177934898454], [0.00814800619783915, 0.007982983813513696, 0.003910651822020111, 0.0012771496665345185, 0.00031282085665580706, 7.289933197531178e-05]]","[{""score"": ""1-1"", ""prob"": 0.1236866647322554}, {""score"": ""1-0"", ""prob"": 0.119672781640524}, {""score"": ""2-0"", ""prob"": 0.09607331548148876}]",0.4714,0.2811,0.2475,49,0.4673,0.2864,0.2462,606031,0.028,0.0182,-0.0462,0.0462,0.0924,0.0899,0.0107,model_over_concentrated,,False
2026-06-20,Germany,Ivory Coast,True,0.6047,0.2323,0.1629,0.5983,0.2713,0.1304,1.8042,0.8183,"[[0.07551893689266419, 0.0565302943481199, 0.02431246204780198, 0.006631269609404332, 0.0013565184146966621, 0.00025620715878852643], [0.12813405443100212, 0.11010991135054628, 0.04386468078424335, 0.011964173930178849, 0.0024474381542118, 0.0004622503970515275], [0.11820150513362968, 0.09671904645905889, 0.03957045190488063, 0.010792914951653519, 0.002207840842334274, 0.00041699738325942464], [0.07108660681518703, 0.05816701588869014, 0.023797743970192537, 0.0064908792886399615, 0.001327799622281412, 0.0002507830081623117], [0.03206371396953094, 0.02623631431395978, 0.010734005883332802, 0.002927720230940054, 0.0005989058868482496, 0.00011311602849521589], [0.016195786279508392, 0.013252293224505567, 0.005421881737550533, 0.0014788284099451665, 0.0003025149162118597, 5.713633249211829e-05]]","[{""score"": ""1-0"", ""prob"": 0.12813405443100212}, {""score"": ""2-0"", ""prob"": 0.11820150513362968}, {""score"": ""1-1"", ""prob"": 0.11010991135054628}]",0.6258,0.2106,0.1637,49,0.6418,0.204,0.1542,459975,-0.0275,0.0607,-0.0333,0.0607,0.1215,0.1346,0.0321,model_under_concentrated,,False
2026-06-20,Ecuador,Curaçao,True,0.8297,0.1253,0.045,0.8233,0.1643,0.0124,2.6076,0.4687,"[[0.04765609575104087, 0.0201016012870183, 0.005067868794111241, 0.0007918133226459293, 9.278579863513497e-05, 9.426041096475263e-06], [0.11877459224123608, 0.05790872696134171, 0.013214851138222614, 0.0020647131196817855, 0.0002419459868671362, 2.457911500341717e-05], [0.15684179150096067, 0.07351576674740748, 0.017229361858016396, 0.002691947801749966, 0.00031544622896065717, 3.20459505834912e-05], [0.13632561083307906, 0.06389930714124176, 0.014975621338422753, 0.002339819157205181, 0.0002741832992119929, 2.7854079873822062e-05], [0.08886983496789322, 0.04165556893897261, 0.009762516292825263, 0.0015253138503090683, 0.00017873842195181863, 1.8157904933945374e-05], [0.07733133798396814, 0.03624717972862171, 0.008494990986392772, 0.0013272733198221062, 0.00015553175409486043, 1.5800356600583214e-05]]","[{""score"": ""2-0"", ""prob"": 0.15684179150096067}, {""score"": ""3-0"", ""prob"": 0.13632561083307906}, {""score"": ""1-0"", ""prob"": 0.11877459224123608}]",0.8641,0.0953,0.0406,49,0.8668,0.0941,0.0391,780109,-0.0408,0.069,-0.0282,0.069,0.138,0.1404,0.0054,model_under_concentrated,,False
2026-06-20,Netherlands,Sweden,True,0.6811,0.2026,0.1163,0.6747,0.2415,0.0838,2.0201,0.6996,"[[0.06841216103517044, 0.0435869424111373, 0.016126048580040814, 0.0037605429255100605, 0.0006577099323686881, 0.00010392949057701589], [0.13060354130389434, 0.09564253239452991, 0.03257575340550249, 0.0075965614517522805, 0.001328620366163989, 0.0002099448876017088], [0.13445386505901824, 0.09406263323818458, 0.03290265760607741, 0.007672794465232909, 0.0013419533372625188, 0.00021205172653776956], [0.09053542432377237, 0.06333771371683762, 0.02215522823712395, 0.005166528328166944, 0.0009036134049284106, 0.00014278647201594762], [0.04572198270697316, 0.031986660170764424, 0.011188780191764572, 0.002609187736622883, 0.00045634067308477423, 7.210968140996106e-05], [0.0270617724942496, 0.01893215624396107, 0.006622377379787608, 0.0015443172133588544, 0.00027009737425515146, 4.268003436018034e-05]]","[{""score"": ""2-0"", ""prob"": 0.13445386505901824}, {""score"": ""1-0"", ""prob"": 0.13060354130389434}, {""score"": ""1-1"", ""prob"": 0.09564253239452991}]",0.5455,0.2495,0.205,48,0.5522,0.2438,0.204,251272,0.1292,-0.008,-0.1212,0.1292,0.2584,0.245,0.0134,model_over_concentrated,,False
2026-06-20,Tunisia,Japan,True,0.0854,0.1755,0.7391,0.079,0.2144,0.7066,0.6104,2.2132,"[[0.06155965729322886, 0.12928002949876485, 0.1454559732310998, 0.10730570299552787, 0.05937112948811444, 0.040140223787812956], [0.03408939625290178, 0.08240647680890396, 0.08879191156963537, 0.06550352164746523, 0.03624241729091739, 0.024503133984674477], [0.011065989519603482, 0.02449078765962241, 0.027100996215754843, 0.019992932474422017, 0.01106188161159997, 0.007478826952295155], [0.0022517016455878384, 0.004983372411226548, 0.0055144962561171455, 0.00406815123699807, 0.0022508657706581683, 0.0015217877195453098], [0.0003436312874525017, 0.000760510470328319, 0.000841565067847535, 0.0006208389330177806, 0.00034350372491383474, 0.00023223941516472185], [4.6624114094056325e-05, 0.00010318654974981915, 0.00011418408967291508, 8.423582573532176e-05, 4.660680632676589e-05, 3.151039321841028e-05]]","[{""score"": ""0-2"", ""prob"": 0.1454559732310998}, {""score"": ""0-1"", ""prob"": 0.12928002949876485}, {""score"": ""0-3"", ""prob"": 0.10730570299552787}]",0.1421,0.2334,0.6245,49,0.1343,0.2338,0.6318,221203,-0.0631,-0.019,0.0821,0.0821,0.1642,0.1495,0.0155,model_over_concentrated,,False
2026-06-21,Belgium,Iran,True,0.3893,0.2763,0.3344,0.3829,0.3152,0.3019,1.3085,1.1932,"[[0.085402131413061, 0.09432489024216222, 0.05833477320405997, 0.023201532611407564, 0.006920972080003865, 0.0020456333952085432], [0.10377263863851205, 0.1313969745495376, 0.07633001383691877, 0.03035879301478463, 0.009055968946406335, 0.002676674936496779], [0.07015236859064838, 0.08370526076769587, 0.04993823316980612, 0.01986197051614992, 0.005924787198262333, 0.0017511907882545193], [0.03059770911417057, 0.03650894861783996, 0.021781096816865568, 0.008663011791285414, 0.002584159578611271, 0.0007638006730049257], [0.01000913962540317, 0.011942827579970478, 0.007125044506468169, 0.002833849235965594, 0.0008453317187940844, 0.0002498549010174957], [0.003317700203566212, 0.003958654087776121, 0.002361717639499468, 0.0009393277083653725, 0.00028019962958715755, 8.281867243253396e-05]]","[{""score"": ""1-1"", ""prob"": 0.1313969745495376}, {""score"": ""1-0"", ""prob"": 0.10377263863851205}, {""score"": ""0-1"", ""prob"": 0.09432489024216222}]",0.6717,0.2053,0.123,48,0.675,0.205,0.12,175926,-0.2888,0.1099,0.1789,0.2888,0.5776,0.5842,0.0066,model_under_concentrated,,True
2026-06-21,New Zealand,Egypt,True,0.2363,0.261,0.5027,0.2299,0.3,0.4701,0.9851,1.5559,"[[0.08204482805262626, 0.11932093051803234, 0.09536288105835196, 0.04945871536469778, 0.019238338583982686, 0.007964656588545813], [0.07435240376815212, 0.12401922720174356, 0.09394492084360725, 0.048723308780068565, 0.018952281803743594, 0.00784622931326507], [0.038229427980420075, 0.059481583695500564, 0.046274022210545794, 0.023999418514743426, 0.009335239215187778, 0.0038647814724916004], [0.012553663597612138, 0.019532382026457937, 0.015195323048964992, 0.007880856253635287, 0.0030654775365910767, 0.0012691052167663253], [0.0030917504795532217, 0.004810488271217083, 0.003742345567754408, 0.0019409187534785903, 0.0007549741611379378, 0.00031255869109692643], [0.0007251894559213623, 0.001128330179033117, 0.0008777906121782889, 0.00045525466046862406, 0.0001770839221247328, 7.331260030169954e-05]]","[{""score"": ""1-1"", ""prob"": 0.12401922720174356}, {""score"": ""0-1"", ""prob"": 0.11932093051803234}, {""score"": ""0-2"", ""prob"": 0.09536288105835196}]",0.1696,0.2372,0.5932,48,0.1642,0.2338,0.602,105401,0.0603,0.0628,-0.1231,0.1231,0.2462,0.2638,0.0176,model_under_concentrated,,False
