date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,lambda_home,lambda_away,scoreline_grid,top_scorelines,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-07-09,France,Morocco,True,0.4976,0.2621,0.2403,0.4912,0.301,0.2077,1.5444,0.9938,"[[0.0822831624965535, 0.07524401740056116, 0.03901515167313535, 0.012924248878091661, 0.0032109873068467973, 0.0007610121848017643], [0.11874797250978038, 0.12453809106086486, 0.0602552694485368, 0.019960299144642025, 0.004959070952506612, 0.00117531246919192], [0.09422588623998464, 0.09364045138618698, 0.046529326948839725, 0.015413411862524625, 0.003829411698320393, 0.0009075803435380197], [0.04850770295588245, 0.04820631974664725, 0.02395340453071467, 0.007934859877674961, 0.0019713899499422447, 0.00046722444828816264], [0.018728907787053814, 0.01861254321008207, 0.009248450808931752, 0.0030636630864035916, 0.0007611570603203642, 0.00018039616544623292], [0.007678599712733755, 0.007630891804858568, 0.0037917401554929, 0.0012560605649109353, 0.00031206413375377176, 7.395999595508793e-05]]","[{""score"": ""1-1"", ""prob"": 0.12453809106086486}, {""score"": ""1-0"", ""prob"": 0.11874797250978038}, {""score"": ""2-0"", ""prob"": 0.09422588623998464}]",0.6039,0.2434,0.1527,46,0.6158,0.2414,0.1429,1489653.0,-0.1127,0.0576,0.055,0.1127,0.2253,0.249,0.0237,model_under_concentrated,,False
2026-07-10,Spain,Belgium,True,0.7598,0.1649,0.0753,0.7534,0.2038,0.0427,2.2909,0.5785,"[[0.05876611246609992, 0.030792565640792528, 0.009494279559603393, 0.0018308708572301964, 0.000264797982417546, 3.38551994503236e-05], [0.1279437524846788, 0.07722247068178852, 0.02175004723278188, 0.00419426533333974, 0.0006066146028848932, 7.75574578878894e-05], [0.14887593122540357, 0.0861274208682511, 0.02491313593930048, 0.004804233356215274, 0.0006948339882985705, 8.883656530894018e-05], [0.11368454431425296, 0.06576856657604739, 0.01902415308764921, 0.0036686056327919826, 0.0005305886900830287, 6.783732173805491e-05], [0.06510878979677887, 0.03766661336653187, 0.010895408799120305, 0.002101063732396786, 0.00030387584961127413, 3.88514194964823e-05], [0.046349564767629345, 0.026814062145195855, 0.007756210142760312, 0.0014957026516634738, 0.00021632276405132863, 2.765750046786514e-05]]","[{""score"": ""2-0"", ""prob"": 0.14887593122540357}, {""score"": ""1-0"", ""prob"": 0.1279437524846788}, {""score"": ""3-0"", ""prob"": 0.11368454431425296}]",0.5885,0.2416,0.1698,46,0.5961,0.2414,0.1626,128999.0,0.1649,-0.0378,-0.1271,0.1649,0.3298,0.3148,0.015,model_over_concentrated,,True
2026-07-11,Norway,England,True,0.223,0.2571,0.5199,0.2166,0.2961,0.4873,0.956,1.5955,"[[0.0811746844396872, 0.1211789322024826, 0.09923074529253828, 0.0527735771728516, 0.021049804972806754, 0.009008010208933796], [0.07132495952571274, 0.12213129506371119, 0.09486763144124118, 0.050453155968047045, 0.020124258204280546, 0.008611933630053354], [0.03562925922155287, 0.05684579277109019, 0.045348180489519725, 0.024117381116677244, 0.009619703574349853, 0.004116636145399214], [0.0113542209872894, 0.018115439597188605, 0.014451416445336113, 0.007685651647446714, 0.0030655770735001408, 0.001311876742327867], [0.0027137457467166, 0.0043297287600624935, 0.0034539991740924906, 0.0018369295870101904, 0.0007326963913910026, 0.0003135485854726686], [0.0006143614244494967, 0.0009802017494565734, 0.0007819464499245334, 0.0004158601368807087, 0.00016587419777575467, 7.098386274328826e-05]]","[{""score"": ""1-1"", ""prob"": 0.12213129506371119}, {""score"": ""0-1"", ""prob"": 0.1211789322024826}, {""score"": ""0-2"", ""prob"": 0.09923074529253828}]",0.231,0.2587,0.5102,46,0.2217,0.2611,0.5172,858280.0,-0.0144,0.0374,-0.0229,0.0374,0.0747,0.07,0.0187,model_under_concentrated,,False
2026-07-11,Argentina,Switzerland,True,0.7002,0.1941,0.1057,0.6938,0.2331,0.0731,2.0802,0.6702,"[[0.06630651255538342, 0.04042388101654865, 0.014353117497894108, 0.0032067070086017613, 0.0005373207165894993, 8.091351487972908e-05], [0.13052045487641872, 0.09149862627944372, 0.0298571555107861, 0.006670547346065963, 0.001117727085891516, 0.0001683151689549556], [0.13825537642482652, 0.09266512685277192, 0.03105421993953782, 0.006937989934339153, 0.0011625401738325186, 0.00017506343743962506], [0.09586563742973057, 0.06425356961129093, 0.021532852221523128, 0.004810770074450737, 0.0008060999700993292, 0.00012138817639337583], [0.04985459161224133, 0.033414845595197466, 0.011198084971141636, 0.0025018242597920977, 0.0004192094882527602, 6.312749930946214e-05], [0.03078008898667955, 0.020630234600974923, 0.0069136671416942476, 0.0015446194794729055, 0.00025881879552518627, 3.897474602469102e-05]]","[{""score"": ""2-0"", ""prob"": 0.13825537642482652}, {""score"": ""1-0"", ""prob"": 0.13052045487641872}, {""score"": ""3-0"", ""prob"": 0.09586563742973057}]",0.5556,0.2652,0.1792,35,,,,,0.1382,-0.0321,-0.1061,0.1382,0.2764,,,model_over_concentrated,,False
