date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-11,Mexico,South Africa,False,0.838,0.1202,0.0418,0.8316,0.1592,0.0092,0.6762,0.2135,0.1103,46,0.6915,0.204,0.1045,828456,0.1554,-0.0543,-0.1011,0.1554,0.3108,0.2802,0.0306,model_over_concentrated,,True
2026-06-11,South Korea,Czech Republic,True,0.4734,0.2667,0.2598,0.467,0.3057,0.2273,0.3618,0.3051,0.3332,45,0.3532,0.3134,0.3333,471495,0.1052,0.0006,-0.1059,0.1059,0.2117,0.2275,0.017,model_over_concentrated,,False
2026-06-12,Canada,Bosnia and Herzegovina,False,0.8059,0.1395,0.0546,0.7995,0.1784,0.0221,0.5255,0.2644,0.2101,45,0.5276,0.2663,0.206,157188,0.274,-0.086,-0.188,0.274,0.548,0.5437,0.0081,model_over_concentrated,,True
2026-06-12,USA,Paraguay,False,0.4504,0.2704,0.2792,0.444,0.3094,0.2467,0.482,0.2798,0.2382,45,0.4877,0.2808,0.2315,451473,-0.038,0.0296,0.0085,0.038,0.0761,0.0875,0.0134,model_under_concentrated,,False
2026-06-13,Qatar,Switzerland,True,0.0404,0.1179,0.8417,0.034,0.1569,0.8091,0.0704,0.1451,0.7846,45,0.0633,0.1345,0.8022,184444,-0.0364,0.0118,0.0245,0.0364,0.0727,0.0586,0.0353,model_over_concentrated,,False
2026-06-13,Brazil,Morocco,True,0.3907,0.2762,0.3331,0.3843,0.3152,0.3005,0.5754,0.2499,0.1748,45,0.5821,0.2438,0.1741,224751,-0.1911,0.0653,0.1257,0.1911,0.3821,0.3956,0.0135,model_under_concentrated,,True
2026-06-13,Haiti,Scotland,True,0.2507,0.2647,0.4847,0.2443,0.3036,0.4521,0.1592,0.2251,0.6157,45,0.1542,0.2239,0.6219,160449,0.0851,0.0785,-0.1636,0.1636,0.3272,0.3396,0.0124,model_under_concentrated,,True
2026-06-13,Australia,Turkey,True,0.3302,0.2761,0.3938,0.3238,0.315,0.3612,0.1878,0.2561,0.5561,45,0.1759,0.2563,0.5678,83050,0.136,0.0589,-0.1949,0.1949,0.3898,0.4132,0.0238,model_under_concentrated,,True
2026-06-14,Germany,Curaçao,True,0.8461,0.1152,0.0387,0.8397,0.1541,0.0062,0.9248,0.0541,0.0211,40,0.9362,0.0424,0.0214,549926,-0.0851,0.1,-0.0149,0.1,0.2,0.2234,0.0234,model_under_concentrated,,False
2026-06-14,Ivory Coast,Ecuador,True,0.1756,0.2386,0.5858,0.1692,0.2776,0.5533,0.2699,0.3351,0.3949,45,0.2663,0.3367,0.397,50012,-0.1007,-0.0575,0.1584,0.1584,0.3166,0.3125,0.0073,model_over_concentrated,,True
2026-06-14,Netherlands,Japan,True,0.3472,0.2768,0.376,0.3408,0.3157,0.3435,0.4709,0.269,0.2601,44,0.4673,0.2663,0.2663,334605,-0.1301,0.0467,0.0834,0.1301,0.2602,0.2531,0.0125,disagree_on_favorite,,False
2026-06-14,Sweden,Tunisia,True,0.4164,0.2744,0.3092,0.41,0.3133,0.2767,0.4956,0.2813,0.2231,45,0.5025,0.2836,0.2139,33391,-0.0856,0.032,0.0536,0.0856,0.1712,0.185,0.0184,model_under_concentrated,,False
2026-06-15,Belgium,Egypt,True,0.5456,0.2506,0.2039,0.5392,0.2895,0.1713,0.5732,0.2478,0.179,45,0.5821,0.2438,0.1741,27596,-0.034,0.0417,-0.0077,0.0417,0.0834,0.0914,0.0178,model_under_concentrated,,False
2026-06-15,Iran,New Zealand,True,0.6552,0.2135,0.1314,0.6488,0.2524,0.0988,0.5059,0.2784,0.2156,44,0.5124,0.2836,0.204,88822,0.1429,-0.026,-0.1168,0.1429,0.2857,0.2728,0.0233,model_over_concentrated,,False
2026-06-15,Spain,Cape Verde,True,0.9376,0.0515,0.0109,0.9115,0.0885,0.0,0.8756,0.0866,0.0378,45,0.9005,0.0662,0.0333,173907,0.0359,0.0019,-0.0378,0.0378,0.0756,0.0666,0.0498,model_over_concentrated,,False
2026-06-15,Saudi Arabia,Uruguay,True,0.1099,0.1975,0.6926,0.1035,0.2365,0.6601,0.1228,0.2144,0.6628,45,0.1133,0.2118,0.6749,55168,-0.0193,0.0221,-0.0027,0.0221,0.0441,0.0493,0.0242,model_under_concentrated,,False
2026-06-16,France,Senegal,True,0.6492,0.2159,0.135,0.6428,0.2548,0.1024,0.6504,0.2176,0.132,44,0.6617,0.2139,0.1244,83449,-0.0076,0.0372,-0.0296,0.0372,0.0744,0.0818,0.0226,model_under_concentrated,,False
2026-06-16,Iraq,Norway,True,0.1248,0.2089,0.6663,0.1184,0.2478,0.6338,0.0693,0.1416,0.7891,44,0.06,0.135,0.805,44300,0.0491,0.1062,-0.1553,0.1553,0.3106,0.3424,0.0318,model_under_concentrated,,True
2026-06-16,Argentina,Algeria,True,0.7561,0.1668,0.0771,0.7497,0.2058,0.0445,0.6812,0.2094,0.1093,44,0.6915,0.204,0.1045,78105,0.0685,-0.0036,-0.0648,0.0685,0.1369,0.12,0.0205,model_over_concentrated,,False
2026-06-16,Austria,Jordan,True,0.4545,0.2698,0.2757,0.4481,0.3088,0.2432,0.7208,0.1776,0.1016,44,0.7313,0.1642,0.1045,56605,-0.2727,0.1312,0.1416,0.2727,0.5455,0.5665,0.0268,model_under_concentrated,,True
2026-06-17,Portugal,DR Congo,True,0.7593,0.1652,0.0755,0.7529,0.2041,0.043,0.7461,0.1672,0.0866,42,0.7612,0.1642,0.0746,51893,0.0068,0.0369,-0.0436,0.0436,0.0873,0.0798,0.0301,model_over_concentrated,,False
2026-06-17,Uzbekistan,Colombia,True,0.1363,0.2167,0.647,0.1299,0.2556,0.6145,0.1136,0.2083,0.6781,42,0.1045,0.204,0.6915,25354,0.0163,0.0473,-0.0636,0.0636,0.1272,0.154,0.0268,model_under_concentrated,,False
2026-06-17,England,Croatia,True,0.5246,0.256,0.2194,0.5182,0.2949,0.1869,0.5484,0.2535,0.1981,42,0.5567,0.2512,0.1921,49867,-0.0302,0.0414,-0.0112,0.0414,0.0828,0.0874,0.0166,model_under_concentrated,,False
2026-06-17,Ghana,Panama,True,0.1115,0.1989,0.6897,0.1051,0.2378,0.6571,0.4616,0.2773,0.2611,42,0.4627,0.2736,0.2637,27281,-0.3565,-0.0395,0.396,0.396,0.792,0.7868,0.0074,disagree_on_favorite,,True
2026-06-18,Czech Republic,South Africa,True,0.5435,0.2511,0.2054,0.5371,0.29,0.1728,0.4816,0.2862,0.2322,41,0.4925,0.2836,0.2239,6906,0.0555,0.0038,-0.0594,0.0594,0.1187,0.1021,0.0218,model_over_concentrated,,False
2026-06-18,Mexico,South Korea,False,0.6101,0.2305,0.1594,0.6037,0.2694,0.1269,0.5233,0.2706,0.2061,41,0.5323,0.2637,0.204,17539,0.0804,-0.0012,-0.0792,0.0804,0.1608,0.1542,0.018,model_over_concentrated,,False
2026-06-18,Switzerland,Bosnia and Herzegovina,True,0.7715,0.1587,0.0698,0.7651,0.1977,0.0373,0.5905,0.241,0.1685,41,0.602,0.2338,0.1642,16149,0.1746,-0.0433,-0.1312,0.1746,0.3491,0.3261,0.023,model_over_concentrated,,True
2026-06-18,Canada,Qatar,False,0.8675,0.1013,0.0311,0.8599,0.1401,0.0,0.7199,0.1872,0.0929,41,0.7413,0.1741,0.0846,18767,0.14,-0.0471,-0.0929,0.14,0.28,0.2372,0.0428,model_over_concentrated,,False
2026-06-19,Scotland,Morocco,True,0.1405,0.2194,0.6401,0.1341,0.2583,0.6076,0.2324,0.2889,0.4786,41,0.2239,0.2836,0.4925,16146,-0.0983,-0.0306,0.129,0.129,0.2579,0.2302,0.0277,model_over_concentrated,,False
2026-06-19,Brazil,Haiti,True,0.768,0.1606,0.0714,0.7616,0.1995,0.0389,0.8814,0.0837,0.0349,37,0.8969,0.0669,0.0362,77785,-0.1198,0.1158,0.004,0.1198,0.2396,0.2706,0.0336,model_under_concentrated,,False
2026-06-19,USA,Australia,False,0.3448,0.2767,0.3784,0.3384,0.3157,0.3459,0.5407,0.2511,0.2083,41,0.5495,0.2426,0.2079,41787,-0.2023,0.0646,0.1376,0.2023,0.4045,0.4222,0.0177,disagree_on_favorite,,True
2026-06-19,Turkey,Paraguay,True,0.5016,0.2613,0.2372,0.4952,0.3002,0.2046,0.4258,0.2972,0.277,40,0.4286,0.3005,0.2709,7641,0.0694,0.003,-0.0724,0.0724,0.1448,0.1332,0.0122,model_over_concentrated,,False
2026-06-20,Germany,Ivory Coast,True,0.6095,0.2307,0.1598,0.6031,0.2696,0.1273,0.6082,0.2238,0.1679,41,0.6219,0.204,0.1741,41617,-0.0051,0.0458,-0.0406,0.0458,0.0915,0.1312,0.0397,model_under_concentrated,,False
2026-06-20,Ecuador,Curaçao,True,0.8325,0.1236,0.0439,0.8261,0.1626,0.0113,0.7906,0.1419,0.0674,41,0.8084,0.1248,0.0669,61166,0.0355,0.0207,-0.0561,0.0561,0.1123,0.1111,0.0354,model_over_concentrated,,False
2026-06-20,Netherlands,Sweden,True,0.6826,0.202,0.1154,0.6762,0.2409,0.0829,0.5774,0.239,0.1836,40,0.592,0.2338,0.1741,6679,0.0988,0.0019,-0.1007,0.1007,0.2014,0.1825,0.0293,model_over_concentrated,,False
