date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-12,Canada,Bosnia and Herzegovina,False,0.8061,0.1393,0.0545,0.7997,0.1783,0.022,0.5186,0.2744,0.207,49,0.5271,0.2709,0.202,1826011,0.2811,-0.0961,-0.185,0.2811,0.5622,0.5452,0.017,model_over_concentrated,,True
2026-06-12,USA,Paraguay,False,0.4504,0.2704,0.2792,0.444,0.3094,0.2467,0.4687,0.2878,0.2435,48,0.4726,0.2836,0.2438,3970776,-0.0247,0.0216,0.0032,0.0247,0.0495,0.0573,0.0084,model_under_concentrated,,False
2026-06-13,Qatar,Switzerland,True,0.0404,0.118,0.8415,0.0341,0.157,0.809,0.0685,0.1471,0.7844,49,0.0576,0.1353,0.807,538606,-0.0344,0.0099,0.0246,0.0344,0.0689,0.0472,0.0453,model_over_concentrated,,False
2026-06-13,Brazil,Morocco,True,0.3911,0.2762,0.3326,0.3847,0.3151,0.3001,0.5816,0.2497,0.1687,49,0.592,0.2438,0.1642,741121,-0.1969,0.0654,0.1314,0.1969,0.3937,0.4145,0.0208,model_under_concentrated,,True
2026-06-13,Haiti,Scotland,True,0.2512,0.2648,0.484,0.2448,0.3037,0.4515,0.1637,0.2271,0.6092,49,0.1558,0.2261,0.6181,342615,0.0811,0.0766,-0.1577,0.1577,0.3154,0.3332,0.0178,model_under_concentrated,,True
2026-06-13,Australia,Turkey,True,0.3305,0.2761,0.3934,0.3241,0.315,0.3609,0.1865,0.2533,0.5602,49,0.1741,0.2537,0.5721,187785,0.1376,0.0617,-0.1993,0.1993,0.3986,0.4225,0.0247,model_under_concentrated,,True
2026-06-14,Germany,Curaçao,True,0.8459,0.1153,0.0388,0.8395,0.1542,0.0063,0.9202,0.0554,0.0244,48,0.9377,0.0389,0.0234,1212980,-0.0807,0.0988,-0.0181,0.0988,0.1976,0.2306,0.035,model_under_concentrated,,False
2026-06-14,Ivory Coast,Ecuador,True,0.1754,0.2386,0.586,0.1691,0.2775,0.5534,0.2674,0.3381,0.3945,49,0.2663,0.3367,0.397,92899,-0.0983,-0.0606,0.1589,0.1589,0.3178,0.3128,0.005,model_over_concentrated,,True
2026-06-14,Netherlands,Japan,True,0.3466,0.2768,0.3766,0.3402,0.3157,0.3441,0.475,0.268,0.2569,48,0.4826,0.2637,0.2537,972244,-0.1348,0.0477,0.0872,0.1348,0.2697,0.2848,0.0151,disagree_on_favorite,,False
2026-06-14,Sweden,Tunisia,True,0.4161,0.2744,0.3095,0.4097,0.3134,0.277,0.5034,0.2777,0.2189,48,0.5075,0.2764,0.2161,153492,-0.0937,0.0357,0.0581,0.0937,0.1875,0.1957,0.0082,model_under_concentrated,,False
2026-06-15,Belgium,Egypt,True,0.5452,0.2506,0.2041,0.5389,0.2896,0.1716,0.5816,0.2456,0.1728,48,0.592,0.2438,0.1642,57572,-0.0427,0.044,-0.0012,0.044,0.0879,0.1063,0.0208,model_under_concentrated,,False
2026-06-15,Iran,New Zealand,True,0.6555,0.2133,0.1312,0.6491,0.2523,0.0987,0.5197,0.2737,0.2066,48,0.5276,0.2764,0.196,174727,0.1294,-0.0214,-0.1079,0.1294,0.2587,0.2429,0.0212,model_over_concentrated,,False
2026-06-15,Spain,Cape Verde,True,0.9376,0.0515,0.0109,0.9114,0.0886,0.0,0.8773,0.0853,0.0374,48,0.9064,0.0649,0.0287,459207,0.0341,0.0033,-0.0374,0.0374,0.0748,0.0574,0.0582,model_over_concentrated,,False
2026-06-15,Saudi Arabia,Uruguay,True,0.1135,0.2004,0.6861,0.1071,0.2393,0.6536,0.123,0.2148,0.6622,48,0.1133,0.2118,0.6749,93574,-0.0159,0.0245,-0.0086,0.0245,0.049,0.055,0.0254,model_under_concentrated,,False
2026-06-16,France,Senegal,True,0.656,0.2131,0.1309,0.6496,0.2521,0.0983,0.6513,0.2173,0.1314,48,0.665,0.2118,0.1232,217125,-0.0017,0.0348,-0.0331,0.0348,0.0696,0.0806,0.0274,model_under_concentrated,,False
2026-06-16,Iraq,Norway,True,0.1149,0.2015,0.6836,0.1085,0.2405,0.651,0.0678,0.1385,0.7938,48,0.064,0.133,0.803,74937,0.0407,0.102,-0.1428,0.1428,0.2855,0.304,0.0185,model_under_concentrated,,False
2026-06-16,Argentina,Algeria,True,0.7478,0.1711,0.0811,0.7414,0.21,0.0485,0.6834,0.208,0.1086,47,0.6946,0.202,0.1034,141063,0.058,0.002,-0.0601,0.0601,0.1201,0.1097,0.0224,model_over_concentrated,,False
2026-06-16,Austria,Jordan,True,0.4539,0.2699,0.2762,0.4475,0.3089,0.2437,0.7213,0.1748,0.1039,47,0.7387,0.1658,0.0955,77589,-0.2738,0.1341,0.1398,0.2738,0.5477,0.5825,0.0348,model_under_concentrated,,True
2026-06-17,Portugal,DR Congo,True,0.7768,0.1558,0.0674,0.7704,0.1948,0.0348,0.7438,0.1688,0.0874,45,0.7612,0.1642,0.0746,101446,0.0266,0.026,-0.0526,0.0526,0.1052,0.0796,0.0348,model_over_concentrated,,False
2026-06-17,Uzbekistan,Colombia,True,0.1363,0.2168,0.6469,0.1299,0.2557,0.6144,0.1086,0.2035,0.6878,45,0.0945,0.204,0.7015,40450,0.0213,0.0522,-0.0734,0.0734,0.1469,0.1742,0.0283,model_under_concentrated,,False
2026-06-17,England,Croatia,True,0.5338,0.2537,0.2125,0.5274,0.2926,0.18,0.5515,0.254,0.1945,47,0.5622,0.2537,0.1841,119390,-0.0241,0.0386,-0.0145,0.0386,0.0772,0.0778,0.0214,model_under_concentrated,,False
2026-06-17,Ghana,Panama,True,0.1113,0.1987,0.6899,0.1049,0.2377,0.6574,0.4483,0.2795,0.2723,45,0.4472,0.2764,0.2764,50218,-0.3434,-0.0418,0.3851,0.3851,0.7703,0.762,0.0083,disagree_on_favorite,,True
2026-06-18,Czech Republic,South Africa,True,0.5426,0.2514,0.206,0.5362,0.2903,0.1735,0.5705,0.2477,0.1818,42,0.5779,0.2462,0.1759,126111,-0.0343,0.0426,-0.0083,0.0426,0.0852,0.0882,0.0148,model_under_concentrated,,False
2026-06-18,Mexico,South Korea,False,0.6097,0.2306,0.1597,0.6033,0.2695,0.1272,0.4788,0.2842,0.237,41,0.4778,0.2808,0.2414,96957,0.1245,-0.0147,-0.1098,0.1245,0.249,0.251,0.0088,model_over_concentrated,,False
2026-06-18,Switzerland,Bosnia and Herzegovina,True,0.7715,0.1587,0.0698,0.7651,0.1977,0.0373,0.5953,0.2385,0.1662,45,0.602,0.2338,0.1642,22803,0.1698,-0.0408,-0.1289,0.1698,0.3395,0.3261,0.0134,model_over_concentrated,,True
2026-06-18,Canada,Qatar,False,0.8675,0.1013,0.0311,0.8599,0.1401,0.0,0.7288,0.1825,0.0887,45,0.7413,0.1741,0.0846,39285,0.1311,-0.0424,-0.0887,0.1311,0.2622,0.2372,0.025,model_over_concentrated,,False
2026-06-19,Scotland,Morocco,True,0.1403,0.2193,0.6404,0.1339,0.2582,0.6079,0.2316,0.2886,0.4798,45,0.2239,0.2836,0.4925,25223,-0.0977,-0.0304,0.1281,0.1281,0.2562,0.2308,0.0254,model_over_concentrated,,False
2026-06-19,Brazil,Haiti,True,0.7681,0.1605,0.0714,0.7617,0.1995,0.0389,0.888,0.077,0.035,39,0.9045,0.06,0.0355,107190,-0.1263,0.1225,0.0039,0.1263,0.2527,0.2857,0.034,model_under_concentrated,,False
2026-06-19,USA,Australia,False,0.345,0.2767,0.3783,0.3386,0.3157,0.3458,0.5417,0.2496,0.2086,45,0.5567,0.2414,0.202,57132,-0.2031,0.0661,0.1372,0.2031,0.4064,0.4362,0.0298,disagree_on_favorite,,True
2026-06-19,Turkey,Paraguay,True,0.5011,0.2614,0.2375,0.4947,0.3003,0.205,0.426,0.2969,0.277,43,0.4328,0.3035,0.2637,12633,0.0687,0.0034,-0.072,0.072,0.1441,0.1238,0.0267,model_over_concentrated,,False
2026-06-20,Germany,Ivory Coast,True,0.6092,0.2308,0.16,0.6028,0.2697,0.1275,0.6134,0.221,0.1656,44,0.6256,0.202,0.1724,52028,-0.0106,0.0487,-0.0381,0.0487,0.0974,0.1354,0.038,model_under_concentrated,,False
2026-06-20,Ecuador,Curaçao,True,0.8326,0.1236,0.0439,0.8262,0.1625,0.0113,0.7913,0.1408,0.0678,44,0.7982,0.1339,0.0679,75630,0.0349,0.0217,-0.0565,0.0565,0.1131,0.1132,0.0139,model_over_concentrated,,False
2026-06-20,Netherlands,Sweden,True,0.6826,0.202,0.1154,0.6762,0.2409,0.0829,0.5797,0.2375,0.1828,43,0.592,0.2338,0.1741,10125,0.0965,0.0034,-0.0999,0.0999,0.1998,0.1825,0.0247,model_over_concentrated,,False
2026-06-20,Tunisia,Japan,True,0.0842,0.1743,0.7415,0.0778,0.2133,0.7089,0.1808,0.2656,0.5535,44,0.1642,0.2637,0.5721,18078,-0.103,-0.0523,0.1554,0.1554,0.3107,0.2736,0.0371,model_over_concentrated,,True
2026-06-21,Belgium,Iran,True,0.3876,0.2764,0.336,0.3812,0.3153,0.3035,0.6752,0.2047,0.1201,43,0.6884,0.196,0.1156,47748,-0.294,0.1106,0.1834,0.294,0.588,0.6144,0.0264,model_under_concentrated,,True
