date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,lambda_home,lambda_away,scoreline_grid,top_scorelines,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-20,Germany,Ivory Coast,True,0.6035,0.2327,0.1637,0.5971,0.2717,0.1312,1.8011,0.8202,"[[0.07561495140809593, 0.05673711739903373, 0.024455758778204353, 0.006685806840082935, 0.00137084316750185, 0.00025960306134687155], [0.1280638654353688, 0.11031031374168447, 0.044046318863377246, 0.012041547457513152, 0.002468972474543762, 0.0004675610076831466], [0.1179370387636316, 0.09672620681486493, 0.03966505850440742, 0.010843782107362136, 0.002223385294746535, 0.00042105300063002127], [0.07080394250283294, 0.058069940178528, 0.02381306628654823, 0.006510105161972911, 0.0013348176808677269, 0.00025278074436821065], [0.03188055885474547, 0.026146879398404092, 0.010722197584264192, 0.002931274494475439, 0.0006010220918638219, 0.00011381839927705533], [0.016064698888904907, 0.013175482472991497, 0.005402944045095004, 0.0014770770590637077, 0.00030285663985262434, 5.73533958652948e-05]]","[{""score"": ""1-0"", ""prob"": 0.1280638654353688}, {""score"": ""2-0"", ""prob"": 0.1179370387636316}, {""score"": ""1-1"", ""prob"": 0.11031031374168447}]",0.627,0.2083,0.1647,49,0.6418,0.204,0.1542,1255678,-0.0299,0.0634,-0.0335,0.0634,0.1268,0.1354,0.0296,model_under_concentrated,,False
2026-06-20,Ecuador,Curaçao,True,0.8304,0.1249,0.0447,0.824,0.1638,0.0121,2.6115,0.4676,"[[0.04752523464917993, 0.019995155566693817, 0.005029119345509005, 0.0007838137727782569, 9.162101575679114e-05, 9.28276951371927e-06], [0.11863219527980746, 0.0576942805434749, 0.013133319991978074, 0.002046894572348742, 0.00023926418031787957, 2.4241536949072896e-05], [0.15688185054757853, 0.07335249774969492, 0.01714853855732405, 0.002672686762992131, 0.00031241384692323433, 3.1652844163843484e-05], [0.1365633094400477, 0.06385225450508052, 0.014927546872212616, 0.0023265339373347124, 0.0002719515909700102, 2.7553328425926607e-05], [0.08915724199512608, 0.04168682591383057, 0.00974565506896801, 0.0015189098016981392, 0.00017754735079642393, 1.7988570871006765e-05], [0.07776603032266516, 0.03636069146517376, 0.008500497443034773, 0.0013248456665214926, 0.00015486294053934914, 1.5690253719295133e-05]]","[{""score"": ""2-0"", ""prob"": 0.15688185054757853}, {""score"": ""3-0"", ""prob"": 0.1365633094400477}, {""score"": ""1-0"", ""prob"": 0.11863219527980746}]",0.8539,0.1031,0.043,49,0.8628,0.0948,0.0424,1299441,-0.0299,0.0607,-0.0309,0.0607,0.1215,0.1381,0.0178,model_under_concentrated,,False
2026-06-20,Netherlands,Sweden,True,0.6814,0.2025,0.1161,0.675,0.2414,0.0836,2.0209,0.6992,"[[0.06838301150705653, 0.04354144806661611, 0.01609992481761573, 0.0037521953482416237, 0.0006558556992124079, 0.0001035663316873486], [0.13060455916826866, 0.09558471162120806, 0.032536500673160294, 0.007582849476434516, 0.0013254254066809173, 0.00020929824572691282], [0.13450924714661835, 0.0940448437784259, 0.03287667141452322, 0.007662128546853112, 0.0013392827955790367, 0.0002114864693509], [0.09061036536733239, 0.06335205821491434, 0.022146932438663745, 0.005161490989277925, 0.0009021900427806368, 0.0001424650473081914], [0.04577885063388306, 0.03200720357557709, 0.011189239862328297, 0.0026077273178226872, 0.0004558112423937052, 7.197726325052544e-05], [0.027111557294983296, 0.018955590225089206, 0.006626590956617322, 0.001544371420599076, 0.00026994458014434965, 4.262701377453069e-05]]","[{""score"": ""2-0"", ""prob"": 0.13450924714661835}, {""score"": ""1-0"", ""prob"": 0.13060455916826866}, {""score"": ""1-1"", ""prob"": 0.09558471162120806}]",0.5583,0.2372,0.2045,48,0.5721,0.2338,0.194,1603411,0.1167,0.0042,-0.1209,0.1209,0.2418,0.2209,0.0277,model_over_concentrated,,False
2026-06-20,Tunisia,Japan,True,0.0852,0.1753,0.7395,0.0788,0.2143,0.707,0.6099,2.2145,"[[0.061511971594026375, 0.12926080185385388, 0.14551928024052632, 0.10741676534842666, 0.05946820994534572, 0.04024164096067777], [0.03403065501060525, 0.08231693311979475, 0.08874860377852907, 0.06551082393564392, 0.03626818792076496, 0.024542379835262574], [0.0110371500446444, 0.024441605699973116, 0.02706278734893313, 0.019976714243843112, 0.011059534634259405, 0.007483894712033113], [0.002243761455612088, 0.004968776591877463, 0.00550164117451925, 0.004061101031408175, 0.002248312057821416, 0.0015214139904591683], [0.00034210363064693746, 0.0007575834354865002, 0.0008388286622947979, 0.0006191912263194482, 0.0003427974555335123, 0.0002319681749373583], [4.6369332414555066e-05, 0.00010268420152514577, 0.0001136963235591789, 8.392627621954036e-05, 4.646337466936025e-05, 3.144137755254869e-05]]","[{""score"": ""0-2"", ""prob"": 0.14551928024052632}, {""score"": ""0-1"", ""prob"": 0.12926080185385388}, {""score"": ""0-3"", ""prob"": 0.10741676534842666}]",0.154,0.2419,0.6041,49,0.1457,0.2362,0.6181,655184,-0.0752,-0.0276,0.1029,0.1029,0.2057,0.1777,0.028,model_over_concentrated,,False
2026-06-21,Belgium,Iran,True,0.3885,0.2763,0.3351,0.3821,0.3153,0.3026,1.3069,1.1947,"[[0.08540998573660441, 0.09445863785897361, 0.05848973767083195, 0.02329299407284849, 0.0069571636985002756, 0.0020595745424461824], [0.10364908044394056, 0.13141440671228605, 0.07643802140095256, 0.030440731149330325, 0.009092053561065835, 0.002691579911647757], [0.06998507065161218, 0.08361271057754248, 0.04994697658394688, 0.019890918917674614, 0.005941030105063487, 0.0017587618878269005], [0.030486945466804742, 0.036423427510686446, 0.021757936902382546, 0.008664896022560657, 0.002588035693088829, 0.0007661530847084756], [0.00996055839383348, 0.011900099241453363, 0.007108655777978786, 0.002830956053081316, 0.0008455514401862556, 0.0002503141073008991], [0.003296464646773508, 0.003938359165369005, 0.0023526223663019527, 0.000936909977991746, 0.0002798367641043132, 8.284190229906493e-05]]","[{""score"": ""1-1"", ""prob"": 0.13141440671228605}, {""score"": ""1-0"", ""prob"": 0.10364908044394056}, {""score"": ""0-1"", ""prob"": 0.09445863785897361}]",0.665,0.2072,0.1278,49,0.6784,0.206,0.1156,207173,-0.2829,0.1081,0.1748,0.2829,0.5658,0.5926,0.0268,model_under_concentrated,,True
2026-06-21,New Zealand,Egypt,True,0.2361,0.261,0.503,0.2297,0.2999,0.4705,0.9846,1.5566,"[[0.08202967131747217, 0.1193563330872878, 0.09543393298884491, 0.04951849193423947, 0.019270512332295573, 0.007982832213164013], [0.07429671246783723, 0.12398625582665244, 0.09396344877577961, 0.04875549120311995, 0.018973584570074635, 0.007859829541290698], [0.03818065633817185, 0.05943321616473859, 0.04625781118583145, 0.024002123546232896, 0.009340615994792549, 0.003869361071893337], [0.012530784504350256, 0.019505815132261947, 0.015181684109318564, 0.007877429741927709, 0.0030655640157661295, 0.0012699134695843923], [0.003084426291098357, 0.004801315432594501, 0.003736939661972135, 0.0019390127883730478, 0.0007545821447963998, 0.000312586533719912], [0.0007230022074799972, 0.0011254480830331201, 0.0008759540251043892, 0.00045451257187489516, 0.00017687715799443327, 7.327156903060201e-05]]","[{""score"": ""1-1"", ""prob"": 0.12398625582665244}, {""score"": ""0-1"", ""prob"": 0.1193563330872878}, {""score"": ""0-2"", ""prob"": 0.09543393298884491}]",0.1693,0.2343,0.5964,49,0.1642,0.2338,0.602,125552,0.0604,0.0656,-0.1259,0.1259,0.2519,0.2631,0.0112,model_under_concentrated,,False
2026-06-21,Spain,Saudi Arabia,True,0.9162,0.0676,0.0162,0.8952,0.1048,0.0,3.2591,0.3252,"[[0.02856458670240242, 0.008236984905200457, 0.001468726376679762, 0.00015922767410308464, 1.2946651910204378e-05, 8.90003746436506e-07], [0.08971113790404575, 0.03023056527494036, 0.004786794026113775, 0.0005189462729685985, 4.2195031699531636e-05, 2.900652350434396e-06], [0.14748598844551777, 0.04796778612241382, 0.0078004308400306316, 0.0008456608932617139, 6.875988913864194e-05, 4.726825078977821e-06], [0.16022613416086764, 0.052111343020824145, 0.008474248241886473, 0.0009187108359680144, 7.469951103920782e-05, 5.135138037461963e-06], [0.13055010007418383, 0.04245962172149978, 0.006904703541814296, 0.0007485532382279372, 6.0864157353194993e-05, 4.184041437412017e-06], [0.16581874748873748, 0.053930263467465225, 0.008770037651706902, 0.0009507779796496726, 7.730686022859659e-05, 5.314377470399461e-06]]","[{""score"": ""3-0"", ""prob"": 0.16022613416086764}, {""score"": ""2-0"", ""prob"": 0.14748598844551777}, {""score"": ""4-0"", ""prob"": 0.13055010007418383}]",0.8714,0.0921,0.0365,49,0.8806,0.0846,0.0348,758519,0.0238,0.0127,-0.0365,0.0365,0.073,0.0696,0.0184,model_over_concentrated,,False
2026-06-21,Uruguay,Cape Verde,True,0.7456,0.1723,0.0822,0.7392,0.2112,0.0496,2.2367,0.6006,"[[0.06071453428642017, 0.03306141107606292, 0.010565661468622999, 0.002115087733520905, 0.00031755674742484677, 4.231367432279096e-05], [0.12892049770458727, 0.08082489822917872, 0.023631847585991496, 0.004730743181390276, 0.0007102681339292631, 9.464152389976196e-05], [0.14655234191900846, 0.08801277467544702, 0.026428265849043692, 0.005290544381110751, 0.000794316017792613, 0.00010584070267380203], [0.10926284227085199, 0.06561837082411101, 0.01970372772720371, 0.003944392212849854, 0.0005922063382190729, 7.891007302001916e-05], [0.061096099922968675, 0.036691582035860926, 0.011017660652576209, 0.002205571224060517, 0.00033114183067979727, 4.4123854056521906e-05], [0.0419606906553582, 0.025199712017684034, 0.007566909360357719, 0.0015147823178214117, 0.00022742760892631485, 3.030418296621648e-05]]","[{""score"": ""2-0"", ""prob"": 0.14655234191900846}, {""score"": ""1-0"", ""prob"": 0.12892049770458727}, {""score"": ""3-0"", ""prob"": 0.10926284227085199}]",0.6589,0.2242,0.1168,49,0.6716,0.2239,0.1045,172240,0.0803,-0.013,-0.0672,0.0803,0.1605,0.1352,0.0253,model_over_concentrated,,False
2026-06-22,France,Iraq,True,0.8407,0.1185,0.0407,0.8343,0.1575,0.0082,2.6686,0.451,"[[0.045618772639572494, 0.01848923328551765, 0.0044926530017672115, 0.0006753355992256475, 7.613733545669955e-05, 7.418323185264176e-06], [0.11646982126828756, 0.05460623902317096, 0.011988914094395908, 0.0018021735666695934, 0.00020317704790633005, 1.9796240519268566e-05], [0.15731885491377234, 0.07094451081191483, 0.015996568297870564, 0.0024046041465359044, 0.00027109507148045795, 2.6413727800049647e-05], [0.1399382678228987, 0.06310656125741444, 0.014229267432321816, 0.0021389434804266164, 0.00024114448798329686, 2.349553915270015e-05], [0.09335841599536862, 0.042100911277271454, 0.009492913474799173, 0.0014269747535318124, 0.0001608771337131766, 1.5674813990332375e-05], [0.08431218968302606, 0.03802142505945745, 0.008573070922406471, 0.0012887040210561413, 0.00014528849133386946, 1.4155958799307557e-05]]","[{""score"": ""2-0"", ""prob"": 0.15731885491377234}, {""score"": ""3-0"", ""prob"": 0.1399382678228987}, {""score"": ""1-0"", ""prob"": 0.11646982126828756}]",0.8798,0.0869,0.0332,48,0.8992,0.0745,0.0263,538150,-0.0455,0.0706,-0.025,0.0706,0.1411,0.166,0.0387,model_under_concentrated,,False
2026-06-22,Norway,Senegal,True,0.4384,0.272,0.2896,0.432,0.311,0.257,1.4134,1.099,"[[0.08446958276808014, 0.08569833047152207, 0.04896141667545682, 0.017936852202343156, 0.004928329623221131, 0.00131773008845218], [0.11118411742555305, 0.12933291708063097, 0.06920255716729287, 0.025352126719735153, 0.006965750495965222, 0.0018624929172624488], [0.08097730002892908, 0.08899729384822669, 0.04890579402794368, 0.01791647503037202, 0.004922730791322985, 0.0013162330803751204], [0.03815137588610706, 0.04192988910765148, 0.023041313186560247, 0.00844110847353, 0.00231927901694403, 0.000620125677012942], [0.013480884286241748, 0.014816031402973232, 0.00814170576176224, 0.0029826868346499373, 0.0008195230533302096, 0.00021912296216250118], [0.004927533294853883, 0.005415556315564543, 0.00297595657422348, 0.0010902317959111622, 0.0002995520950584996, 8.009383277806808e-05]]","[{""score"": ""1-1"", ""prob"": 0.12933291708063097}, {""score"": ""1-0"", ""prob"": 0.11118411742555305}, {""score"": ""2-1"", ""prob"": 0.08899729384822669}]",0.416,0.2747,0.3093,48,0.4229,0.2736,0.3035,271692,0.016,0.0363,-0.0523,0.0523,0.1046,0.093,0.0138,model_over_concentrated,,False
