date,home_team,away_team,neutral_used,p_home_model,p_draw_model,p_away_model,p_home_model_corr,p_draw_model_corr,p_away_model_corr,p_home_book,p_draw_book,p_away_book,n_books,p_home_poly,p_draw_poly,p_away_poly,poly_volume,div_model_book_home,div_model_book_draw,div_model_book_away,div_model_book_max,div_model_book_l1,div_model_poly_l1,div_book_poly_l1,divergence_type,note,flag_divergent
2026-06-16,Austria,Jordan,True,0.4545,0.2698,0.2757,0.4481,0.3088,0.2432,0.7209,0.1764,0.1027,42,0.7387,0.1658,0.0955,62589,-0.2728,0.1324,0.1405,0.2728,0.5457,0.5813,0.0356,model_under_concentrated,,True
2026-06-17,Portugal,DR Congo,True,0.7713,0.1588,0.0699,0.7649,0.1977,0.0373,0.7475,0.1665,0.086,40,0.7612,0.1642,0.0746,68147,0.0174,0.0312,-0.0487,0.0487,0.0973,0.0745,0.0274,model_over_concentrated,,False
2026-06-17,Uzbekistan,Colombia,True,0.1364,0.2168,0.6468,0.13,0.2558,0.6142,0.1125,0.2079,0.6795,40,0.1045,0.204,0.6915,26672,0.0175,0.0479,-0.0653,0.0653,0.1307,0.1546,0.0239,model_under_concentrated,,False
2026-06-17,England,Croatia,True,0.5246,0.256,0.2194,0.5182,0.2949,0.1869,0.5519,0.2535,0.1946,40,0.5622,0.2537,0.1841,65791,-0.0337,0.0414,-0.0077,0.0414,0.0828,0.088,0.021,model_under_concentrated,,False
2026-06-17,Ghana,Panama,True,0.1115,0.1989,0.6897,0.1051,0.2378,0.6571,0.461,0.2774,0.2615,40,0.4627,0.2736,0.2637,28745,-0.3559,-0.0396,0.3956,0.3956,0.7911,0.7868,0.0077,disagree_on_favorite,,True
2026-06-18,Czech Republic,South Africa,True,0.5434,0.2512,0.2055,0.537,0.2901,0.1729,0.4828,0.2857,0.2315,39,0.4925,0.2836,0.2239,7541,0.0542,0.0044,-0.0586,0.0586,0.1172,0.102,0.0194,model_over_concentrated,,False
2026-06-18,Mexico,South Korea,False,0.6101,0.2305,0.1594,0.6037,0.2694,0.1269,0.5235,0.2703,0.2062,39,0.5323,0.2637,0.204,19113,0.0802,-0.0009,-0.0793,0.0802,0.1604,0.1542,0.0176,model_over_concentrated,,False
2026-06-18,Switzerland,Bosnia and Herzegovina,True,0.7715,0.1587,0.0698,0.7651,0.1977,0.0373,0.5906,0.2408,0.1686,39,0.602,0.2338,0.1642,17606,0.1745,-0.0431,-0.1313,0.1745,0.3489,0.3261,0.0228,model_over_concentrated,,True
2026-06-18,Canada,Qatar,False,0.8676,0.1013,0.0311,0.86,0.14,0.0,0.7264,0.1832,0.0904,39,0.7413,0.1741,0.0846,20882,0.1336,-0.0432,-0.0904,0.1336,0.2672,0.2374,0.0298,model_over_concentrated,,False
2026-06-19,Scotland,Morocco,True,0.1404,0.2193,0.6403,0.134,0.2583,0.6077,0.2321,0.2889,0.479,39,0.2239,0.2836,0.4925,21589,-0.0981,-0.0306,0.1287,0.1287,0.2574,0.2304,0.027,model_over_concentrated,,False
2026-06-19,Brazil,Haiti,True,0.7679,0.1606,0.0715,0.7615,0.1996,0.039,0.8811,0.084,0.0349,36,0.8974,0.0669,0.0357,83698,-0.1196,0.1156,0.0041,0.1196,0.2393,0.2719,0.0342,model_under_concentrated,,False
2026-06-19,USA,Australia,False,0.3448,0.2767,0.3784,0.3384,0.3157,0.3459,0.5405,0.2508,0.2087,39,0.5468,0.2414,0.2118,48780,-0.2021,0.0649,0.1372,0.2021,0.4042,0.4168,0.0188,disagree_on_favorite,,True
2026-06-19,Turkey,Paraguay,True,0.5017,0.2612,0.237,0.4953,0.3002,0.2045,0.4252,0.298,0.2768,38,0.4286,0.3005,0.2709,8526,0.0701,0.0022,-0.0723,0.0723,0.1446,0.1334,0.0118,model_over_concentrated,,False
2026-06-20,Germany,Ivory Coast,True,0.6094,0.2307,0.1599,0.603,0.2697,0.1274,0.6073,0.2243,0.1685,39,0.6219,0.204,0.1741,42872,-0.0043,0.0454,-0.0411,0.0454,0.0908,0.1313,0.0405,model_under_concentrated,,False
2026-06-20,Ecuador,Curaçao,True,0.8324,0.1237,0.0439,0.826,0.1626,0.0114,0.7894,0.1424,0.0682,39,0.7986,0.1339,0.0675,66020,0.0366,0.0202,-0.0568,0.0568,0.1136,0.1122,0.0184,model_over_concentrated,,False
2026-06-20,Netherlands,Sweden,True,0.6825,0.202,0.1155,0.6761,0.241,0.083,0.5772,0.2387,0.1841,38,0.592,0.2338,0.1741,7507,0.0989,0.0023,-0.1011,0.1011,0.2023,0.1824,0.0297,model_over_concentrated,,False
2026-06-20,Tunisia,Japan,True,0.0844,0.1745,0.7411,0.078,0.2135,0.7086,0.1847,0.2667,0.5486,39,0.1642,0.2637,0.5721,13797,-0.1067,-0.0532,0.16,0.16,0.3199,0.2729,0.047,model_over_concentrated,,True
2026-06-21,Belgium,Iran,True,0.3882,0.2764,0.3354,0.3818,0.3153,0.3029,0.6762,0.2044,0.1194,38,0.7015,0.194,0.1045,22866,-0.2944,0.1109,0.1835,0.2944,0.5888,0.6394,0.0506,model_under_concentrated,,True
2026-06-21,New Zealand,Egypt,True,0.2361,0.261,0.503,0.2297,0.2999,0.4705,0.1952,0.2592,0.5456,39,0.194,0.2537,0.5522,8248,0.0345,0.0407,-0.0751,0.0751,0.1503,0.1636,0.0133,model_under_concentrated,,False
2026-06-21,Spain,Saudi Arabia,True,0.9169,0.067,0.016,0.8957,0.1043,0.0,0.8574,0.1011,0.0415,39,0.8754,0.085,0.0395,23757,0.0383,0.0032,-0.0415,0.0415,0.083,0.0791,0.0361,model_over_concentrated,,False
2026-06-21,Uruguay,Cape Verde,True,0.7487,0.1707,0.0807,0.7423,0.2096,0.0481,0.655,0.215,0.13,39,0.6784,0.206,0.1156,11040,0.0873,-0.0054,-0.0819,0.0873,0.1746,0.135,0.0468,model_over_concentrated,,False
2026-06-22,France,Iraq,True,0.8409,0.1184,0.0407,0.8345,0.1574,0.0081,0.8462,0.1113,0.0425,38,0.8603,0.1044,0.0353,32730,-0.0117,0.0461,-0.0344,0.0461,0.0922,0.106,0.0282,model_under_concentrated,,False
2026-06-22,Norway,Senegal,True,0.4406,0.2717,0.2876,0.4342,0.3107,0.2551,0.4438,0.2741,0.2822,38,0.4428,0.2736,0.2836,21713,-0.0096,0.0366,-0.0271,0.0366,0.0733,0.0742,0.0029,model_under_concentrated,,False
2026-06-22,Argentina,Austria,True,0.7681,0.1605,0.0714,0.7617,0.1995,0.0389,0.5751,0.2478,0.1771,39,0.595,0.24,0.165,15471,0.1866,-0.0483,-0.1382,0.1866,0.3731,0.3333,0.0398,model_over_concentrated,,True
2026-06-22,Jordan,Algeria,True,0.2636,0.2675,0.4689,0.2572,0.3065,0.4363,0.149,0.227,0.624,38,0.1343,0.204,0.6617,42406,0.1082,0.0795,-0.1877,0.1877,0.3754,0.4508,0.0754,model_under_concentrated,,True
