date,home_team,away_team,neutral,elo_h_pre,elo_a_pre,eff_diff,home_score,away_score,goal_diff,total_goals
2018-03-23,Tunisia,Iran,False,1618.0,1804.1930913666795,-126.19309136667948,1,0,1,1
2018-03-23,Turkey,Ireland,False,1711.0,1732.0,39.0,1,0,1,1
2018-03-23,Ukraine,Saudi Arabia,True,1738.0,1566.1460328932094,171.8539671067906,1,1,0,2
2018-03-23,Uruguay,Czech Republic,True,1866.0,1712.0,154.0,2,0,2,2
2018-03-24,Angola,Zimbabwe,True,1501.1746273864953,1463.7215379937577,37.45308939273764,2,2,0,4
2018-03-24,Armenia,Estonia,False,1480.0,1513.222818713141,26.777181286859104,0,0,0,0
2018-03-24,Botswana,Lesotho,False,1500.0,1500.0,60.0,1,0,1,1
2018-03-24,Canada,New Zealand,True,1523.0,1524.0,-1.0,1,0,1,1
2018-03-24,Comoros,Kenya,True,1500.0,1500.0,0.0,2,2,0,4
2018-03-24,Georgia,Lithuania,False,1482.0,1500.0,42.0,4,0,4,4
2018-03-24,Israel,Romania,False,1533.0,1687.0,-94.0,1,2,-1,3
2018-03-24,Ivory Coast,Togo,True,1601.0,1500.0,101.0,2,2,0,4
2018-03-24,Kosovo,Madagascar,True,1500.0,1500.0,0.0,1,0,1,1
2018-03-24,Mauritania,Guinea,False,1500.0,1467.0,93.0,2,0,2,2
2018-03-24,Northern Ireland,South Korea,False,1674.0,1762.1554791483177,-28.15547914831768,2,1,1,3
2018-03-24,Qatar,Syria,True,1470.0295587119588,1611.0,-140.97044128804123,2,2,0,4
2018-03-24,Sweden,Chile,False,1826.4732426312971,1859.0,27.473242631297126,1,2,-1,3
2018-03-24,Tahiti,New Caledonia,False,1498.2900264265638,1501.7099735734362,56.580052853127654,4,3,1,7
2018-03-24,Uganda,São Tomé and Príncipe,False,1457.0,1500.0,17.0,3,1,2,4
2018-03-24,Zambia,South Africa,False,1495.2784620062423,1539.8253726135047,15.453089392737638,0,2,-2,2
2018-03-24,Alderney,Guernsey,False,1500.0,1500.0,60.0,0,2,-2,2
2018-03-25,Barbados,Bermuda,False,1500.0,1491.7099735734362,68.29002642656383,0,0,0,0
2018-03-25,Dominican Republic,Saint Kitts and Nevis,False,1515.543799549807,1500.0,75.54379954980709,2,1,1,3
2018-03-25,Faroe Islands,Liechtenstein,True,1499.8939465454011,1490.0,9.89394654540115,3,0,3,3
2018-03-25,Gibraltar,Latvia,False,1500.0,1496.4212408931885,63.5787591068115,1,0,1,1
2018-03-25,Jamaica,Antigua and Barbuda,False,1569.1877567290933,1508.2900264265638,120.89773030252945,1,1,0,2
2018-03-25,Kuwait,Cameroon,False,1419.04128175396,1644.0,-164.95871824604,1,3,-2,4
2018-03-25,Martinique,Trinidad and Tobago,False,1428.0,1511.7099735734362,-23.709973573436173,0,0,0,0
2018-03-25,Nicaragua,Cuba,False,1512.4350396398456,1487.5649603601544,84.87007927969125,3,3,0,6
