date,home_team,away_team,home_score,away_score,tournament,p_home,p_draw,p_away,actual
2024-06-06,Gibraltar,Wales,0,0,Friendly,0.011044823670618887,0.05202804262109757,0.9369271337082835,1
2024-06-06,Netherlands,Canada,4,0,Friendly,0.733336518098537,0.17838794653014545,0.08827553537131749,0
2024-06-06,Guinea-Bissau,Ethiopia,0,0,FIFA World Cup qualification,0.4872599600934424,0.2641930293054644,0.2485470106010932,1
2024-06-06,Egypt,Burkina Faso,2,1,FIFA World Cup qualification,0.6405749288969487,0.21923144376880035,0.140193627334251,0
2024-06-06,Mauritania,Sudan,0,2,FIFA World Cup qualification,0.5591609303863057,0.24675922922180107,0.19407984039189327,2
2024-06-06,Senegal,DR Congo,1,1,FIFA World Cup qualification,0.7800744620920299,0.15403603848955352,0.06588949941841662,1
2024-06-06,Taiwan,Oman,0,3,FIFA World Cup qualification,0.0547917125960105,0.13969697171042744,0.8055113156935622,2
2024-06-06,Benin,Rwanda,1,0,FIFA World Cup qualification,0.3766711522786068,0.2767771241576801,0.34655172356371294,0
2024-06-06,Algeria,Guinea,1,2,FIFA World Cup qualification,0.6602195928175612,0.21141213794182012,0.12836826924061864,2
2024-06-06,Malawi,São Tomé and Príncipe,3,1,FIFA World Cup qualification,0.7583122866977235,0.16569255994152196,0.07599515336075474,0
2024-06-06,Mali,Ghana,1,2,FIFA World Cup qualification,0.6612546457058608,0.21098770354917282,0.12775765074496642,2
2024-06-06,Afghanistan,Qatar,0,0,FIFA World Cup qualification,0.03721904372036669,0.11255931934097535,0.8502216369386579,1
2024-06-06,India,Kuwait,0,0,FIFA World Cup qualification,0.3693993988088567,0.27692412971406405,0.35367647147707915,1
2024-06-06,Myanmar,Japan,0,5,FIFA World Cup qualification,0.006609718735322712,0.0353287642874667,0.9580615169772106,2
2024-06-06,China PR,Thailand,1,1,FIFA World Cup qualification,0.3665752087908165,0.2769564383180115,0.35646835289117196,1
2024-06-06,Libya,Mauritius,2,1,FIFA World Cup qualification,0.734436002931263,0.1778442994785547,0.08771969759018218,0
2024-06-07,Nigeria,South Africa,1,1,FIFA World Cup qualification,0.5165619543753484,0.25790371513422494,0.2255343304904268,1
