date,home_team,away_team,home_score,away_score,tournament,p_home,p_draw,p_away,actual
2024-06-22,Ecuador,Venezuela,1,2,Copa América,0.5421773282209523,0.25147991905853645,0.20634275272051134,2
2024-06-22,Mexico,Jamaica,1,0,Copa América,0.4663496483252711,0.2679642638698724,0.2656860878048565,0
2024-06-23,Uruguay,Panama,3,1,Copa América,0.6600711846760778,0.211472892410096,0.12845592291382615,0
2024-06-23,USA,Bolivia,2,0,Copa América,0.8481897208533257,0.11384803629455947,0.03796224285211501,0
2024-06-23,Scotland,Hungary,0,1,UEFA Euro,0.30422049833884557,0.2738899793822585,0.42188952227889576,2
2024-06-23,Germany,Switzerland,1,1,UEFA Euro,0.6107737239186689,0.23022976654932492,0.1589965095320061,1
2024-06-24,Albania,Spain,0,1,UEFA Euro,0.02135819536654022,0.08058080099901538,0.8980610036344445,2
2024-06-24,Croatia,Italy,1,1,UEFA Euro,0.34413719962372624,0.27670601661114613,0.37915678376512757,1
2024-06-24,Colombia,Paraguay,2,1,Copa América,0.7877158201468186,0.1498101325364066,0.06247404731677485,0
2024-06-24,Brazil,Costa Rica,0,0,Copa América,0.8448962390530965,0.11592539380266065,0.039178367144242734,1
2024-06-25,England,Slovenia,0,0,UEFA Euro,0.6916274001349403,0.1979814458547022,0.11039115401035754,1
2024-06-25,Denmark,Serbia,0,0,UEFA Euro,0.4420729216467495,0.27156248515076065,0.28636459320248997,1
2024-06-25,Netherlands,Austria,2,3,UEFA Euro,0.5613297172711176,0.24613036099983615,0.19253992172904635,2
2024-06-25,France,Poland,1,1,UEFA Euro,0.8321888499189943,0.12380898794753573,0.04400216213347007,1
2024-06-25,Peru,Canada,0,1,Copa América,0.33324195677925905,0.2762484750658176,0.3905095681549233,2
2024-06-25,Chile,Argentina,0,1,Copa América,0.023294719008909462,0.0850595041510921,0.8916457768399986,2
2024-06-26,Czech Republic,Turkey,1,2,UEFA Euro,0.3736567424489546,0.276849151520663,0.34949410603038245,2
2024-06-26,Venezuela,Mexico,1,0,Copa América,0.25412103583804224,0.26550147677009633,0.48037748739186137,0
2024-06-26,Ecuador,Jamaica,3,1,Copa América,0.4877926985018146,0.26408903199685874,0.24811826950132657,0
2024-06-26,Georgia,Portugal,2,0,UEFA Euro,0.044555742215354806,0.1246797878456834,0.8307644699389619,0
2024-06-26,Ukraine,Belgium,0,0,UEFA Euro,0.15004382769474922,0.22519989229036388,0.6247562800148869,1
2024-06-26,Slovakia,Romania,1,1,UEFA Euro,0.30766545418914615,0.2742599998675838,0.4180745459432702,1
2024-06-27,Vanuatu,Fiji,2,1,Oceania Nations Cup,0.12255393297267642,0.20728368169973796,0.6701623853275855,0
2024-06-27,New Zealand,Tahiti,5,0,Oceania Nations Cup,0.4853448681313788,0.264563664072926,0.25009146779569524,0
2024-06-27,USA,Panama,1,2,Copa América,0.6599755567050718,0.21151202650056208,0.12851241679436615,2
2024-06-27,Uruguay,Bolivia,5,0,Copa América,0.8874690571150105,0.08794238582194207,0.024588557063047356,0
2024-06-28,Colombia,Costa Rica,3,0,Copa América,0.8155603560057548,0.1338159046939314,0.050623739300313636,0
2024-06-28,Paraguay,Brazil,1,4,Copa América,0.058244545908936435,0.14435221892354078,0.7974032351675225,2
2024-06-29,Switzerland,Italy,2,0,UEFA Euro,0.26336555036080567,0.2674968150395297,0.4691376345996646,0
2024-06-29,Germany,Denmark,2,0,UEFA Euro,0.6030952246963962,0.2328930025794318,0.16401177272417208,0
2024-06-29,Argentina,Peru,2,0,Copa América,0.8852308501082047,0.08947670435581732,0.025292445535978036,0
2024-06-29,Canada,Chile,0,0,Copa América,0.4931537487278692,0.26302090146866147,0.24382534980346926,1
2024-06-30,Jamaica,Venezuela,0,3,Copa América,0.2360205284826168,0.2609516564739696,0.5030278150434137,2
2024-06-30,Mexico,Ecuador,0,0,Copa América,0.31392588603482935,0.2748690248031198,0.4112050891620507,1
2024-06-30,Vanuatu,New Zealand,0,3,Oceania Nations Cup,0.11747576502987778,0.20351350549952196,0.6790107294706001,2
2024-06-30,Spain,Georgia,4,1,UEFA Euro,0.8182679407312174,0.1322100394058935,0.049522019862889,0
2024-06-30,England,Slovakia,2,1,UEFA Euro,0.7703683946691524,0.1593038480667191,0.07032775726412846,0
2024-06-30,Tahiti,Fiji,2,1,Oceania Nations Cup,0.2566311920697378,0.26606458339089,0.47730422453937227,0
2024-07-01,France,Belgium,1,0,UEFA Euro,0.5419439807674079,0.25154224224878835,0.2065137769838038,0
2024-07-01,Portugal,Slovenia,0,0,UEFA Euro,0.6550441382244458,0.21351573559144774,0.1314401261841066,1
2024-07-01,USA,Uruguay,0,1,Copa América,0.24568962887438536,0.2634907731618376,0.49081959796377705,2
2024-07-01,Bolivia,Panama,1,3,Copa América,0.10179895476343054,0.1908134314395445,0.707387613797025,2
2024-07-02,Romania,Netherlands,0,3,UEFA Euro,0.08324394366431352,0.17336355383508406,0.7433925025006023,2
2024-07-02,Austria,Turkey,1,2,UEFA Euro,0.5590491343555931,0.24679148708507342,0.19415937855933346,2
2024-07-02,Brazil,Colombia,1,1,Copa América,0.35405982166429206,0.27692940375167174,0.3690107745840363,1
2024-07-02,Costa Rica,Paraguay,2,1,Copa América,0.34507099309090117,0.2767348051457948,0.37819420176330404,0
2024-07-04,Argentina,Ecuador,1,1,Copa América,0.784582792262963,0.1515512122025798,0.06386599553445713,1
2024-07-05,Germany,Spain,1,2,UEFA Euro,0.2773306705017822,0.2701137147145722,0.4525556147836457,2
2024-07-05,Portugal,France,0,0,UEFA Euro,0.20268773224300754,0.2501252529105921,0.5471870148464004,1
2024-07-05,Venezuela,Canada,1,1,Copa América,0.4384718936173472,0.2720227223639189,0.28950538401873394,1
2024-07-06,Colombia,Panama,5,0,Copa América,0.682640942510371,0.20194056469234223,0.11541849279728683,0
2024-07-06,Uruguay,Brazil,0,0,Copa América,0.359952973930958,0.276977024558613,0.3630700015104291,1
2024-07-06,Netherlands,Turkey,2,1,UEFA Euro,0.623959922477334,0.22549257739179138,0.15054750013087478,0
2024-07-06,England,Switzerland,1,1,UEFA Euro,0.4419316989482081,0.2715808976229139,0.28648740342887813,1
2024-07-09,Spain,France,2,1,UEFA Euro,0.4419646561642432,0.27157660334091327,0.28645874049484354,0
2024-07-09,Argentina,Canada,2,0,Copa América,0.8268236069255641,0.1270756705344448,0.04610072253999105,0
2024-07-10,Netherlands,England,1,2,UEFA Euro,0.4132224605916681,0.2746978538191805,0.31207968558915145,2
2024-07-10,Uruguay,Colombia,0,1,Copa América,0.320137707996186,0.2753938738786197,0.4044684181251943,2
2024-07-13,Canada,Uruguay,2,2,Copa América,0.1256432937132712,0.20950163813820832,0.6648550681485205,1
2024-07-14,Spain,England,2,1,UEFA Euro,0.5811689141635668,0.24010771932341818,0.17872336651301496,0
2024-07-14,Argentina,Colombia,1,0,Copa América,0.4911056281164085,0.26343359320327664,0.24546077868031477,0
2024-07-27,Guatemala,El Salvador,0,1,Friendly,0.5851682984323271,0.2388351564974449,0.17599654507022797,2
2024-07-27,Jordan,North Korea,0,0,Friendly,0.7989760709658523,0.14345541031160142,0.0575685187225463,1
